store,article,quantity
BOMBAY,Z2250,60.0
BOMBAY,Z2252,7.0
BOMBAY,Z2253,23.0
BOMBAY,Z2256,8.0
BOMBAY,Z2259,12.0
BOMBAY,Z2260,6.0
BOMBAY,Z2261,10.0
BOMBAY,Z2262,12.0
BOMBAY,Z2263,13.0
BOMBAY,Z2265,24.0
BOMBAY,Z2266,12.0
BOMBAY,Z2268,12.0
BOMBAY,Z2271,6.0
BOMBAY,Z2272,10.0
BOMBAY,Z2276,8.0
BOMBAY,Z2277,10.0
BOMBAY,Z2278,14.0
BOMBAY,Z2282,11.0
BOMBAY,Z2283,14.0
BOMBAY,Z2285,12.0
BOMBAY,Z2286,6.0
BOMBAY,Z2288,9.0
BOMBAY,Z2289,11.0
BOMBAY,Z2291,15.0
BOMBAY,Z2293,10.0
BOMBAY,Z2294,10.0
BOMBAY,Z2295,12.0
BOMBAY,Z2297,14.0
BOMBAY,Z2300,6.0
BOMBAY,Z2301,9.0
BOMBAY,Z2302,11.0
BOMBAY,Z2304,7.0
BOMBAY,Z2306,14.0
BOMBAY,Z2307,7.0
BOMBAY,Z2308,13.0
BOMBAY,Z2311,12.0
BOMBAY,Z2312,13.0
BOMBAY,Z2316,12.0
BOMBAY,Z2318,14.0
BOMBAY,Z2321,8.0
BOMBAY,Z2323,26.0
BOMBAY,Z2327,12.0
BOMBAY,Z2330,13.0
BOMBAY,Z2333,6.0
BOMBAY,Z2338,15.0
BOMBAY,Z2342,16.0
BOMBAY,Z2344,4.0
BOMBAY,Z2345,10.0
BOMBAY,Z2348,11.0
BOMBAY,Z2356,14.0
BOMBAY,Z2361,12.0
BOMBAY,Z2362,6.0
BOMBAY,Z2374,15.0
BOMBAY,Z2377,42.0
BOMBAY,Z2379,6.0
BOMBAY,Z2381,6.0
BOMBAY,Z2386,7.0
BOMBAY,Z2391,14.0
BOMBAY,Z2393,35.0
BOMBAY,Z2394,12.0
BOMBAY,Z2402,13.0
DUKE NIT,Z2250,38.0
DUKE NIT,Z2253,18.0
DUKE NIT,Z2260,6.0
DUKE NIT,Z2261,12.0
DUKE NIT,Z2262,6.0
DUKE NIT,Z2263,12.0
DUKE NIT,Z2266,9.0
DUKE NIT,Z2268,6.0
DUKE NIT,Z2271,6.0
DUKE NIT,Z2272,4.0
DUKE NIT,Z2276,6.0
DUKE NIT,Z2277,6.0
DUKE NIT,Z2278,3.0
DUKE NIT,Z2282,8.0
DUKE NIT,Z2283,4.0
DUKE NIT,Z2288,7.0
DUKE NIT,Z2289,12.0
DUKE NIT,Z2291,9.0
DUKE NIT,Z2293,3.0
DUKE NIT,Z2295,4.0
DUKE NIT,Z2297,12.0
DUKE NIT,Z2301,3.0
DUKE NIT,Z2302,10.0
DUKE NIT,Z2304,7.0
DUKE NIT,Z2306,8.0
DUKE NIT,Z2307,7.0
DUKE NIT,Z2308,6.0
DUKE NIT,Z2311,6.0
DUKE NIT,Z2312,7.0
DUKE NIT,Z2315,6.0
DUKE NIT,Z2316,6.0
DUKE NIT,Z2321,6.0
DUKE NIT,Z2323,16.0
DUKE NIT,Z2327,6.0
DUKE NIT,Z2333,6.0
DUKE NIT,Z2338,6.0
DUKE NIT,Z2341,6.0
DUKE NIT,Z2342,10.0
DUKE NIT,Z2356,2.0
DUKE NIT,Z2361,6.0
DUKE NIT,Z2362,5.0
DUKE NIT,Z2374,14.0
DUKE NIT,Z2377,12.0
DUKE NIT,Z2386,3.0
DUKE NIT,Z2391,5.0
DUKE NIT,Z2392,6.0
DUKE NIT,Z2393,37.0
DUKE NIT,Z2394,7.0
DUKE NIT,Z2402,7.0
MORADABAD,Z2250,47.0
MORADABAD,Z2252,8.0
MORADABAD,Z2253,24.0
MORADABAD,Z2254,6.0
MORADABAD,Z2256,8.0
MORADABAD,Z2258,12.0
MORADABAD,Z2259,12.0
MORADABAD,Z2260,7.0
MORADABAD,Z2261,10.0
MORADABAD,Z2262,13.0
MORADABAD,Z2263,14.0
MORADABAD,Z2265,22.0
MORADABAD,Z2266,11.0
MORADABAD,Z2268,14.0
MORADABAD,Z2271,6.0
MORADABAD,Z2272,10.0
MORADABAD,Z2276,15.0
MORADABAD,Z2277,14.0
MORADABAD,Z2278,14.0
MORADABAD,Z2281,12.0
MORADABAD,Z2282,19.0
MORADABAD,Z2283,10.0
MORADABAD,Z2285,12.0
MORADABAD,Z2286,4.0
MORADABAD,Z2287,6.0
MORADABAD,Z2288,9.0
MORADABAD,Z2289,12.0
MORADABAD,Z2290,6.0
MORADABAD,Z2291,16.0
MORADABAD,Z2293,9.0
MORADABAD,Z2294,10.0
MORADABAD,Z2295,11.0
MORADABAD,Z2297,15.0
MORADABAD,Z2298,7.0
MORADABAD,Z2300,6.0
MORADABAD,Z2301,6.0
MORADABAD,Z2302,12.0
MORADABAD,Z2303,12.0
MORADABAD,Z2304,10.0
MORADABAD,Z2305,12.0
MORADABAD,Z2306,14.0
MORADABAD,Z2307,7.0
MORADABAD,Z2308,12.0
MORADABAD,Z2311,14.0
MORADABAD,Z2312,12.0
MORADABAD,Z2313,8.0
MORADABAD,Z2316,12.0
MORADABAD,Z2318,6.0
MORADABAD,Z2319,3.0
MORADABAD,Z2321,14.0
MORADABAD,Z2323,26.0
MORADABAD,Z2324,6.0
MORADABAD,Z2326,12.0
MORADABAD,Z2327,12.0
MORADABAD,Z2328,14.0
MORADABAD,Z2329,6.0
MORADABAD,Z2330,13.0
MORADABAD,Z2331,12.0
MORADABAD,Z2333,6.0
MORADAB,,
